Time	Wx	Wy	Wz	Temperature
2.020	0.000	0.000	0.061	29.018
2.030	0.000	-0.061	-0.061	29.006
2.040	0.000	-0.061	0.000	29.001
2.050	0.000	-0.061	0.000	28.995
2.060	0.000	0.000	-0.061	28.995
2.070	0.000	0.000	0.000	28.995
2.080	-0.061	0.061	0.061	28.989
2.090	0.000	0.000	0.000	28.989
2.100	0.000	-0.061	0.000	28.989
2.110	0.000	-0.061	0.000	29.001
2.121	0.000	0.000	-0.061	29.006
2.131	0.000	-0.061	-0.061	29.021
2.141	-0.061	-0.061	0.000	29.030
2.151	0.000	0.000	0.061	29.024
2.160	0.000	0.000	0.122	29.009
2.171	0.000	0.000	0.061	29.012
2.181	0.000	-0.061	0.000	29.009
2.191	-0.061	-0.061	0.000	29.015
2.201	0.000	-0.061	0.000	29.012
2.211	0.000	-0.061	0.000	29.009
2.221	0.000	0.000	0.122	29.018
2.231	0.000	0.000	0.000	29.009
2.241	0.000	0.000	0.061	28.995
2.251	-0.061	0.000	0.061	28.989
2.261	0.000	-0.061	0.061	28.995
2.271	0.061	-0.061	-0.061	29.006
2.280	0.000	0.000	0.061	29.027
2.292	0.000	0.000	0.000	29.030
2.301	0.000	0.000	0.061	29.004
2.311	-0.061	-0.061	0.122	29.001
2.321	0.000	-0.061	0.000	29.006
2.331	0.000	0.000	0.000	29.004
2.341	-0.061	-0.061	0.000	29.004
2.352	-0.061	0.000	0.000	29.012
2.362	-0.061	0.000	0.000	29.018
2.372	0.000	-0.061	0.000	29.018
2.381	0.000	-0.061	0.000	29.024
2.392	0.000	-0.061	0.061	29.009
2.401	0.000	-0.061	0.000	28.998
2.412	-0.061	-0.061	-0.061	28.992
2.422	0.000	-0.061	-0.122	28.983
2.432	0.000	0.000	0.061	28.998
2.442	-0.061	0.000	0.122	29.018
2.452	0.000	0.000	0.000	29.027
2.462	0.000	-0.061	0.000	29.021
2.472	0.000	-0.061	0.000	29.015
2.482	0.000	0.000	0.061	29.015
2.492	0.000	0.000	0.061	29.004
2.502	0.000	0.000	0.061	29.012
2.512	0.000	0.000	0.000	29.015
2.522	0.000	-0.061	0.000	29.018
2.532	0.000	-0.061	0.000	29.009
2.542	0.000	0.000	0.122	29.001
2.552	0.000	0.000	0.061	28.998
2.562	-0.061	0.000	0.000	29.006
2.572	-0.061	0.000	-0.061	29.006
2.582	0.000	0.000	-0.122	29.009
2.592	0.000	-0.061	0.000	29.021
2.602	0.000	0.000	0.183	29.015
2.612	0.000	0.000	0.061	29.015
2.621	-0.061	0.000	-0.061	29.009
2.632	-0.061	-0.061	-0.061	29.027
2.642	-0.061	0.000	-0.061	29.027
2.652	0.000	0.000	0.000	29.027
2.662	0.000	-0.061	0.061	29.018
2.672	0.000	-0.061	0.061	29.015
2.682	-0.061	-0.061	-0.061	29.009
2.692	-0.061	-0.061	-0.061	29.009
2.702	-0.061	0.000	0.061	29.001
2.712	-0.061	0.000	0.061	29.012
2.722	0.000	0.000	0.000	29.009
2.732	0.000	0.000	0.000	29.012
2.742	0.000	0.000	0.000	29.015
2.752	0.000	0.000	0.061	29.021
2.762	0.061	0.000	0.061	29.018
2.772	0.061	0.000	0.000	29.009
2.782	-0.061	0.000	0.000	29.015
2.793	-0.061	0.000	-0.061	29.001
2.802	-0.061	-0.061	0.000	29.009
2.813	-0.061	0.000	0.061	29.015
2.822	0.000	0.000	0.000	29.012
2.832	0.000	0.000	0.061	29.015
2.842	0.000	0.000	0.061	28.992
2.853	0.000	0.000	0.000	28.983
2.863	0.000	-0.061	-0.061	29.001
2.873	0.000	0.000	0.061	28.998
2.882	0.000	0.000	0.000	29.001
2.893	-0.061	0.000	0.000	28.998
2.904	0.000	-0.061	0.061	29.001
2.914	0.000	-0.061	0.061	29.004
2.923	0.061	0.000	0.000	29.004
2.934	0.061	0.000	-0.061	29.021
2.944	0.000	0.000	-0.061	29.018
2.953	0.000	0.000	0.000	29.024
2.963	0.000	0.000	0.061	29.027
2.973	0.061	0.000	0.122	29.006
2.983	0.000	0.000	0.122	29.009
2.993	0.061	-0.061	0.000	29.021
3.003	0.000	-0.061	-0.061	29.018
3.013	0.000	0.000	0.000	29.015
3.024	0.000	0.000	0.000	29.015
3.034	-0.061	0.000	0.000	29.015
3.043	-0.061	0.000	-0.061	29.001
3.054	-0.061	0.000	0.122	29.012
3.063	-0.061	0.061	0.061	29.015
3.073	0.061	0.000	-0.061	29.012
3.083	0.000	0.000	0.000	29.021
3.093	-0.061	0.000	0.000	29.027
3.103	0.000	-0.061	-0.061	29.012
3.114	-0.061	0.000	0.061	29.004
3.123	0.000	0.000	0.061	29.001
3.134	0.061	0.000	0.000	29.006
3.144	0.061	0.000	0.061	29.006
3.154	0.000	0.000	0.061	29.015
3.163	0.000	0.000	0.000	29.015
3.174	0.000	-0.061	0.000	29.015
3.183	0.000	0.000	0.000	29.009
3.193	-0.061	0.000	0.000	29.006
3.203	-0.061	0.000	0.000	29.012
3.214	0.000	0.000	-0.061	29.012
3.224	0.000	0.000	0.061	29.015
3.234	0.000	-0.061	0.000	29.039
3.244	0.000	-0.061	-0.061	29.024
3.254	0.000	0.000	0.061	29.024
3.264	-0.061	0.000	0.061	29.018
3.274	-0.061	0.000	-0.061	29.018
3.284	0.000	-0.061	0.000	29.015
3.295	0.000	0.000	0.122	29.018
3.304	0.000	0.000	0.061	29.021
3.314	0.000	0.000	0.000	29.018
3.324	-0.061	-0.061	0.061	29.015
3.334	0.000	0.000	-0.061	29.015
3.345	0.000	0.000	-0.061	29.012
3.355	-0.061	0.000	0.061	29.015
3.365	0.000	0.000	0.122	29.015
3.375	0.000	-0.061	0.000	29.024
3.385	0.000	-0.061	0.061	29.042
3.395	0.000	0.000	0.000	29.018
3.405	0.000	0.000	-0.061	29.021
3.415	0.000	-0.061	-0.061	29.015
3.426	0.000	0.000	0.061	29.021
3.436	0.000	0.000	0.122	29.027
3.446	0.000	0.000	0.000	29.021
3.456	0.000	0.000	0.000	29.009
3.466	0.000	-0.061	0.000	29.006
3.475	0.000	0.000	0.000	29.012
3.485	-0.061	0.000	0.000	29.015
3.495	0.000	-0.061	0.000	29.018
3.506	0.000	-0.061	0.000	29.027
3.516	-0.061	0.000	0.061	29.021
3.526	-0.061	0.000	0.061	29.012
3.536	0.000	-0.061	0.000	29.012
3.546	0.000	-0.061	0.000	29.015
3.556	-0.061	-0.061	-0.061	29.024
3.566	0.000	-0.061	0.000	29.024
3.576	0.000	-0.061	0.000	29.024
3.586	0.000	0.000	0.000	29.009
3.596	0.000	0.000	0.061	29.004
3.606	-0.061	0.000	0.061	29.009
3.616	-0.061	0.000	-0.061	29.021
3.626	0.000	0.000	0.000	29.012
3.636	0.000	0.000	0.122	29.012
3.646	0.000	0.000	0.061	29.012
3.656	0.000	0.000	0.122	29.009
3.666	0.000	0.000	0.061	28.998
3.676	0.000	-0.061	0.000	29.012
3.687	0.000	0.000	0.000	29.024
3.696	0.000	0.000	0.000	29.027
3.706	0.000	0.000	0.000	29.015
3.716	0.000	-0.061	0.000	29.006
3.727	-0.061	0.000	0.061	29.033
3.737	0.000	-0.061	0.000	29.033
3.747	0.000	-0.061	0.000	29.039
3.757	0.000	0.000	0.061	29.039
3.767	0.000	0.000	0.122	29.030
3.776	0.000	0.000	0.000	29.018
3.786	0.000	0.000	0.000	29.027
3.797	0.000	-0.061	0.000	29.027
3.807	0.000	-0.061	0.000	29.024
3.817	-0.061	0.000	0.061	29.030
3.827	0.000	0.000	0.000	29.015
3.837	0.000	0.000	0.000	29.021
3.847	0.000	0.000	0.000	29.027
3.857	0.000	0.000	0.000	29.015
3.867	0.000	0.000	0.061	29.012
3.877	0.000	0.000	0.000	29.009
3.887	0.000	-0.061	0.000	29.024
3.897	-0.061	-0.061	0.122	29.030
3.907	0.000	-0.061	0.061	29.033
3.917	0.061	-0.061	-0.122	29.024
3.927	0.000	-0.061	0.000	29.024
3.937	-0.061	0.000	0.061	29.024
3.947	-0.061	-0.061	0.000	29.027
