Time	Dx	Dy	Dz	Temperature
3.134	38.293	-62.468	-1.390	29.006
3.144	38.293	-62.468	-1.390	29.006
3.154	38.293	-62.468	-1.390	29.015
3.164	38.293	-62.474	-1.390	29.015
3.174	38.293	-62.474	-1.390	29.015
3.184	38.298	-62.474	-1.390	29.009
3.194	38.298	-62.474	-1.390	29.006
3.203	38.298	-62.474	-1.390	29.012
3.214	38.298	-62.474	-1.390	29.012
3.224	38.293	-62.474	-1.390	29.015
3.234	38.298	-62.474	-1.390	29.039
3.244	38.298	-62.474	-1.390	29.024
3.254	38.298	-62.479	-1.390	29.024
3.264	38.298	-62.479	-1.390	29.018
3.274	38.304	-62.479	-1.390	29.018
3.284	38.304	-62.479	-1.390	29.015
3.295	38.304	-62.479	-1.390	29.018
3.305	38.304	-62.479	-1.390	29.021
3.314	38.304	-62.479	-1.390	29.018
3.324	38.298	-62.479	-1.390	29.015
3.335	38.304	-62.479	-1.390	29.015
3.346	38.304	-62.479	-1.390	29.012
3.356	38.298	-62.479	-1.390	29.015
3.366	38.293	-62.479	-1.390	29.015
3.376	38.293	-62.485	-1.390	29.024
3.386	38.293	-62.485	-1.390	29.042
3.395	38.293	-62.485	-1.390	29.018
3.406	38.293	-62.485	-1.390	29.021
3.416	38.293	-62.485	-1.390	29.015
3.427	38.293	-62.485	-1.390	29.021
3.436	38.287	-62.485	-1.390	29.027
3.446	38.293	-62.485	-1.390	29.021
3.456	38.293	-62.485	-1.390	29.009
3.466	38.293	-62.485	-1.390	29.006
3.476	38.293	-62.485	-1.390	29.012
3.486	38.287	-62.485	-1.390	29.015
3.496	38.287	-62.485	-1.390	29.018
3.507	38.293	-62.485	-1.390	29.027
3.517	38.293	-62.485	-1.390	29.021
3.527	38.287	-62.485	-1.390	29.012
3.536	38.287	-62.485	-1.390	29.012
3.547	38.293	-62.485	-1.390	29.015
3.557	38.293	-62.485	-1.390	29.024
3.567	38.293	-62.485	-1.390	29.024
3.577	38.298	-62.485	-1.390	29.024
3.587	38.298	-62.485	-1.390	29.009
3.597	38.293	-62.485	-1.390	29.004
3.607	38.293	-62.485	-1.390	29.009
3.616	38.293	-62.485	-1.390	29.021
3.626	38.293	-62.485	-1.390	29.012
3.636	38.293	-62.485	-1.390	29.012
3.647	38.293	-62.485	-1.390	29.012
3.657	38.287	-62.485	-1.390	29.009
3.667	38.287	-62.485	-1.390	28.998
3.677	38.287	-62.485	-1.390	29.012
3.687	38.293	-62.485	-1.390	29.024
3.697	38.293	-62.485	-1.390	29.027
3.707	38.293	-62.485	-1.390	29.015
3.717	38.293	-62.485	-1.390	29.006
3.728	38.293	-62.485	-1.390	29.033
3.738	38.293	-62.485	-1.390	29.033
3.748	38.293	-62.485	-1.390	29.039
3.758	38.287	-62.485	-1.390	29.039
3.767	38.282	-62.485	-1.390	29.030
3.777	38.282	-62.485	-1.390	29.018
3.787	38.282	-62.485	-1.390	29.027
3.798	38.287	-62.485	-1.390	29.027
3.808	38.287	-62.485	-1.390	29.024
3.818	38.282	-62.485	-1.390	29.030
3.828	38.282	-62.485	-1.390	29.015
3.838	38.276	-62.479	-1.390	29.021
3.848	38.276	-62.479	-1.390	29.027
3.858	38.282	-62.479	-1.390	29.015
3.868	38.282	-62.479	-1.390	29.012
3.878	38.282	-62.479	-1.390	29.009
3.888	38.282	-62.479	-1.390	29.024
3.898	38.276	-62.479	-1.390	29.030
3.908	38.276	-62.479	-1.390	29.033
3.918	38.282	-62.479	-1.390	29.024
3.928	38.282	-62.479	-1.390	29.024
3.938	38.282	-62.479	-1.390	29.024
3.948	38.282	-62.479	-1.390	29.027
3.959	38.276	-62.479	-1.390	29.056
3.969	38.276	-62.479	-1.390	29.042
3.979	38.276	-62.479	-1.390	29.033
3.988	38.271	-62.479	-1.390	29.018
3.999	38.271	-62.479	-1.390	29.033
4.008	38.271	-62.479	-1.390	29.039
4.018	38.271	-62.479	-1.390	29.039
4.029	38.271	-62.479	-1.390	29.015
