Time	Ax	Ay	Az	Temperature
2.993	8.838	2.862	3.622	29.021
3.003	8.848	2.866	3.632	29.018
3.012	8.843	2.857	3.661	29.015
3.023	8.819	2.862	3.651	29.015
3.033	8.838	2.871	3.637	29.015
3.043	8.824	2.862	3.627	29.001
3.053	8.833	2.847	3.637	29.012
3.063	8.843	2.862	3.637	29.015
3.073	8.829	2.876	3.627	29.012
3.083	8.848	2.866	3.608	29.021
3.093	8.838	2.857	3.622	29.027
3.103	8.833	2.871	3.622	29.012
3.114	8.843	2.866	3.622	29.004
3.123	8.833	2.866	3.656	29.001
3.134	8.843	2.871	3.646	29.006
3.143	8.843	2.871	3.627	29.006
3.153	8.843	2.847	3.613	29.015
3.163	8.843	2.857	3.618	29.015
3.173	8.843	2.852	3.618	29.015
3.183	8.843	2.881	3.608	29.009
3.193	8.848	2.885	3.613	29.006
3.203	8.843	2.857	3.627	29.012
3.214	8.838	2.857	3.618	29.012
3.224	8.857	2.842	3.627	29.015
3.234	8.853	2.852	3.608	29.039
3.244	8.853	2.862	3.584	29.024
3.254	8.843	2.857	3.598	29.024
3.263	8.838	2.857	3.603	29.018
3.273	8.843	2.857	3.603	29.018
3.283	8.843	2.866	3.603	29.015
3.294	8.853	2.857	3.618	29.018
3.304	8.843	2.852	3.613	29.021
3.314	8.833	2.876	3.618	29.018
3.324	8.857	2.852	3.637	29.015
3.334	8.853	2.866	3.622	29.015
3.344	8.838	2.852	3.608	29.012
3.354	8.843	2.857	3.632	29.015
3.364	8.843	2.842	3.651	29.015
3.374	8.848	2.842	3.603	29.024
3.384	8.848	2.862	3.622	29.042
3.394	8.853	2.847	3.618	29.018
3.404	8.843	2.857	3.637	29.021
3.414	8.829	2.857	3.622	29.015
3.425	8.843	2.852	3.642	29.021
3.435	8.843	2.862	3.622	29.027
3.445	8.862	2.862	3.608	29.021
3.455	8.829	2.871	3.627	29.009
3.465	8.848	2.866	3.637	29.006
3.474	8.853	2.852	3.618	29.012
3.484	8.824	2.847	3.622	29.015
3.494	8.848	2.842	3.608	29.018
3.505	8.833	2.871	3.622	29.027
3.515	8.843	2.866	3.613	29.021
3.525	8.838	2.862	3.632	29.012
3.535	8.862	2.857	3.627	29.012
3.545	8.862	2.876	3.637	29.015
3.555	8.848	2.866	3.613	29.024
3.565	8.838	2.857	3.618	29.024
3.575	8.867	2.866	3.598	29.024
3.585	8.848	2.847	3.608	29.009
3.595	8.833	2.857	3.618	29.004
3.605	8.838	2.857	3.637	29.009
3.615	8.824	2.862	3.642	29.021
3.625	8.843	2.862	3.613	29.012
3.635	8.843	2.847	3.598	29.012
3.645	8.862	2.881	3.627	29.012
3.656	8.829	2.871	3.637	29.009
3.666	8.829	2.881	3.637	28.998
3.676	8.843	2.862	3.642	29.012
3.686	8.843	2.876	3.622	29.024
3.695	8.833	2.862	3.622	29.027
3.705	8.838	2.871	3.603	29.015
3.715	8.862	2.866	3.637	29.006
3.726	8.857	2.862	3.627	29.033
3.736	8.857	2.866	3.632	29.033
3.746	8.843	2.852	3.627	29.039
3.756	8.843	2.833	3.622	29.039
3.766	8.843	2.828	3.656	29.030
3.776	8.853	2.866	3.622	29.018
3.786	8.848	2.866	3.618	29.027
3.797	8.843	2.857	3.603	29.027
3.807	8.843	2.876	3.642	29.024
3.817	8.838	2.862	3.642	29.030
3.826	8.819	2.852	3.646	29.015
3.836	8.829	2.852	3.632	29.021
3.846	8.833	2.852	3.622	29.027
3.856	8.838	2.862	3.603	29.015
3.866	8.833	2.871	3.622	29.012
3.876	8.848	2.876	3.637	29.009
3.886	8.833	2.852	3.627	29.024
3.896	8.833	2.871	3.637	29.030
3.907	8.824	2.842	3.646	29.033
3.917	8.833	2.866	3.608	29.024
3.926	8.843	2.847	3.603	29.024
3.936	8.838	2.866	3.618	29.024
3.946	8.829	2.871	3.622	29.027
3.957	8.838	2.857	3.651	29.056
3.967	8.838	2.842	3.637	29.042
3.977	8.824	2.857	3.613	29.033
3.987	8.853	2.852	3.637	29.018
3.997	8.862	2.847	3.622	29.033
4.007	8.853	2.871	3.618	29.039
4.017	8.848	2.862	3.632	29.039
4.027	8.853	2.862	3.646	29.015
4.037	8.838	2.876	3.622	29.018
4.047	8.838	2.866	3.618	29.027
4.057	8.843	2.857	3.627	29.024
4.067	8.833	2.842	3.627	29.024
4.077	8.843	2.857	3.642	29.027
4.087	8.853	2.881	3.622	29.033
4.097	8.848	2.871	3.603	29.021
4.107	8.838	2.866	3.656	29.012
4.117	8.814	2.876	3.656	29.024
4.127	8.829	2.852	3.632	29.030
4.138	8.838	2.852	3.637	29.021
4.148	8.829	2.862	3.622	29.024
4.158	8.843	2.852	3.622	29.018
4.168	8.838	2.862	3.646	29.027
4.178	8.843	2.857	3.622	29.042
4.188	8.838	2.866	3.622	29.036
4.198	8.853	2.866	3.632	29.027
4.208	8.829	2.852	3.618	29.018
4.217	8.824	2.838	3.622	29.024
4.228	8.843	2.842	3.603	29.030
4.237	8.833	2.866	3.618	29.027
4.248	8.848	2.852	3.632	29.027
4.258	8.833	2.862	3.632	29.030
4.268	8.843	2.857	3.632	29.015
4.278	8.857	2.862	3.627	29.012
4.288	8.848	2.871	3.637	29.027
4.299	8.833	2.876	3.632	29.027
4.308	8.838	2.876	3.637	29.021
4.319	8.857	2.857	3.618	29.021
4.328	8.843	2.857	3.603	29.021
4.338	8.833	2.857	3.618	29.021
4.348	8.838	2.862	3.618	29.024
4.358	8.819	2.857	3.613	29.027
4.369	8.824	2.871	3.627	29.027
4.378	8.843	2.852	3.622	29.030
4.389	8.829	2.857	3.627	29.039
4.399	8.848	2.871	3.622	29.024
4.409	8.843	2.871	3.627	29.015
4.418	8.848	2.881	3.665	29.018
4.428	8.833	2.866	3.637	29.021
4.438	8.838	2.862	3.642	29.021
4.448	8.829	2.862	3.594	29.024
4.459	8.853	2.852	3.622	29.027
4.469	8.833	2.857	3.579	29.033
4.479	8.843	2.847	3.622	29.039
4.489	8.843	2.862	3.637	29.030
4.499	8.853	2.866	3.594	29.015
4.509	8.833	2.847	3.608	29.018
4.519	8.829	2.876	3.642	29.030
4.529	8.833	2.866	3.608	29.042
4.539	8.833	2.862	3.618	29.030
4.549	8.853	2.866	3.598	29.033
4.560	8.853	2.857	3.622	29.039
4.569	8.857	2.866	3.622	29.036
4.579	8.867	2.857	3.613	29.042
4.589	8.853	2.862	3.584	29.042
4.599	8.843	2.866	3.637	29.042
4.609	8.824	2.852	3.632	29.042
4.620	8.824	2.857	3.618	29.045
4.629	8.853	2.862	3.613	29.039
4.639	8.829	2.876	3.603	29.036
4.649	8.838	2.876	3.618	29.051
4.660	8.833	2.866	3.598	29.036
4.670	8.843	2.862	3.627	29.027
4.680	8.838	2.885	3.622	29.030
4.690	8.853	2.881	3.618	29.018
4.700	8.853	2.876	3.603	29.036
4.710	8.843	2.852	3.584	29.042
4.720	8.857	2.852	3.594	29.039
4.729	8.843	2.876	3.627	29.036
4.740	8.848	2.885	3.627	29.045
4.749	8.838	2.876	3.637	29.045
4.760	8.843	2.871	3.632	29.045
4.770	8.848	2.885	3.632	29.036
4.780	8.843	2.862	3.622	29.039
4.790	8.867	2.842	3.622	29.048
4.801	8.838	2.871	3.627	29.036
4.810	8.838	2.857	3.598	29.024
4.820	8.833	2.847	3.594	29.021
4.830	8.833	2.847	3.598	29.024
4.840	8.843	2.857	3.608	29.030
4.850	8.843	2.857	3.603	29.030
4.860	8.848	2.890	3.613	29.027
4.870	8.838	2.876	3.632	29.033
4.879	8.833	2.871	3.618	29.039
4.889	8.838	2.852	3.622	29.030
4.900	8.843	2.857	3.589	29.033
4.910	8.848	2.852	3.589	29.036
4.920	8.843	2.866	3.598	29.033
4.930	8.843	2.871	3.608	29.045
4.941	8.843	2.866	3.618	29.042
4.951	8.848	2.862	3.603	29.048
4.960	8.848	2.857	3.613	29.045
4.970	8.843	2.876	3.608	29.051
4.980	8.838	2.876	3.618	29.048
4.990	8.853	2.890	3.622	29.039
5.000	8.853	2.866	3.598	29.033
